BillID,Year,Major,MajorText,Party,PassH,PassS,Description,Description_CBP,DW1,DW1_NA,Chamber,BillNum,BillType,Cong,Minor,MultNo,PLaw,ReportH,ReportS,Veto,ComC,CumHServ,MRef,NameFull,Postal,State
83-HR-2965,1953,20,Public Lands and Water Management,Democrat,0,0,To allow percentage depletion of 15 percent for kyanite mines and deposits,To allow percentage depletion of 15 percent for kyanite mines and deposits,0.18,0.18,House,2965,HR,83,2103.0,1.0,0,0,0,0,0.0,4.917,1,"Abbitt, Watkins M.",VA,40
87-HR-10827,1962,10,Transportation,Democrat,0,0,"To provide disaster loans to fishing vessel owners and operators and other boat owners and operators engaged in the seafood industry adversely affected by failure of the seafood resource, and for other purposes","To provide disaster loans to fishing vessel owners and operators and other boat owners and operators engaged in the seafood industry adversely affected by failure of the seafood resource, and for other purposes",-0.134,-0.134,House,10827,HR,87,1007.0,1.0,0,0,0,0,0.0,2.0,1,"Johnson, Thomas F.",MD,52
85-S-3911,1958,6,Education,Republican,0,0,A bill granting the consent of the Congress to the consolidation for investmentpurposes by the State of Indiana of certain congressional township funds in such State.,A bill granting the consent of the Congress to the consolidation for investmentpurposes by the State of Indiana of certain congressional township funds in such State.,0.392,0.392,Senate,3911,S,85,600.0,1.0,0,0,0,0,0.0,0.0,0,"Capehart, Home",IN,22
96-HR-8307,1980,14,"Banking, Finance, and Domestic Commerce",Democrat,0,0,"A bill to amend the Internal Revenue Code of 1954 to promote capital investment in small business, and for other purposes.","A bill to amend the Internal Revenue Code of 1954 to promote capital investment in small business, and for other purposes.",-0.303,-0.303,House,8307,HR,96,1521.0,1.0,0,0,0,0,1.0,2904.0,0,Neal Smith,IA,31
85-HR-6545,1957,17,Foreign Trade,Democrat,0,0,"To provide for the suspension of the vesting of alien property, and the liquidation of vested property, under the Trading With the Enemy Act.","To provide for the suspension of the vesting of alien property, and the liquidation of vested property, under the Trading With the Enemy Act.",-0.053,-0.053,House,6545,HR,85,1800.0,1.0,0,0,0,0,0.0,16.0,1,"Harris, Oren",AR,42
87-HR-10106,1962,10,Transportation,Democrat,0,0,To amend title 23 of the United States Code to increase the total mileage of the National System of Interstate and Defense Highways,To amend title 23 of the United States Code to increase the total mileage of the National System of Interstate and Defense Highways,0.01,0.01,House,10106,HR,87,1002.0,1.0,0,0,0,0,0.0,19.167,1,"Whitten, Jamie L.",MS,46
113-HR-4455,2014,6,Education,Democrat,0,0,"To require Federal agencies to collaborate in the development of freely available open source educational materials in college-level physics, chemistry, and math, and for other purposes.","To require Federal agencies to collaborate in the development of freely available open source educational materials in college-level physics, chemistry, and math, and for other purposes.",-0.4,-0.4,House,4455,HR,113,601.0,2.0,0,0,0,0,0.0,2492.0,0,Bill Foster,IL,21
103-S-1556,1993,16,"Space, Science, Technology, and Communications",Democrat,0,0,"A bill to require commercial television stations to maintain, and provide copies of, commercials and program promotions, and for other purposes.","A bill to require commercial television stations to maintain, and provide copies of, commercials and program promotions, and for other purposes.",-0.437,-0.437,Senate,1556,S,103,1707.0,1.0,0,0,0,0,0.0,0.0,0,Carl Levin,MI,23
111-S-1169,2009,3,Health,Democrat,0,0,"A bill to amend title 10, United States Code, to provide for the treatment of autism under TRICARE.","A bill to amend title 10, United States Code, to provide for the treatment of autism under TRICARE.",-0.478,-0.478,Senate,1169,S,111,333.0,1.0,0,0,0,0,0.0,753.0,0,Kirsten Gillibrand,NY,13
114-S-2518,2016,3,Health,Republican,0,0,A bill to authorize the use of Ebola funds for Zika response and preparedness.,A bill to authorize the use of Ebola funds for Zika response and preparedness.,0.589,0.589,Senate,2518,S,114,331.0,1.0,0,0,0,0,1.0,0.0,0,Ron Johnson,WI,25
101-HR-3230,1989,3,Health,Democrat,0,0,To amend title XVIII of the Social Security Act and the Internal Revenue Code of 1986 with respect to revising benefits and financing provided under the Medicare Catastrophic Coverage Act of 1988.,To amend title XVIII of the Social Security Act and the Internal Revenue Code of 1986 with respect to revising benefits and financing provided under the Medicare Catastrophic Coverage Act of 1988.,-0.378,-0.378,House,3230,HR,101,334.0,2.0,0,0,0,0,1.0,6507.0,1,Daniel Rostenkowski,IL,21
97-S-518,1981,5,Labor and Employment,Democrat,0,0,A bill to provide tax incentives to encourage new personal saving and enhance personal retirement.,A bill to provide tax incentives to encourage new personal saving and enhance personal retirement.,-0.27,-0.27,Senate,518,S,97,503.0,1.0,0,0,0,0,0.0,1367.0,0,John Melcher,MT,64
88-HR-4739,1963,15,Defense,Democrat,1,1,"To amend section 406 of title 37, United States Code, with regard to the advance movement of dependents and baggage and household effects of members of the uniformed services","To amend section 406 of title 37, United States Code, with regard to the advance movement of dependents and baggage and household effects of members of the uniformed services",0.075,0.075,House,4739,HR,88,1608.0,1.0,1,1,0,0,0.0,22.0,1,"Rivers, L. Mendel",SC,48
100-HR-4194,1988,8,Energy,Republican,0,0,A bill to repeal the provisions of the Revenue Act of 1987 which imposed the diesel fuel and aviation fuel taxes at the wholesale level.,A bill to repeal the provisions of the Revenue Act of 1987 which imposed the diesel fuel and aviation fuel taxes at the wholesale level.,0.494,0.494,House,4194,HR,100,803.0,1.0,0,0,0,0,0.0,2847.0,0,Larry Craig,ID,63
93-HR-65,1973,3,Health,Democrat,0,0,"A bill to amend the Public Health Service Act to provide for the establishment of a National Institute of Aging, and for other purposes.","A bill to amend the Public Health Service Act to provide for the establishment of a National Institute of Aging, and for other purposes.",-0.102,-0.102,House,65,HR,93,398.0,1.0,0,0,0,0,0.0,716.0,0,Paul Rogers,FL,43
100-HR-1082,1987,8,Energy,Republican,0,0,"A bill to authorize the Secretary of the Interior to lease, in an expeditious and environmentally-sound manner, lands in the Coastal Plain of the Arctic National Wildlife Refuge for oil and gas exploration, development, and production.","A bill to authorize the Secretary of the Interior to lease, in an expeditious and environmentally-sound manner, lands in the Coastal Plain of the Arctic National Wildlife Refuge for oil and gas exploration, development, and production.",0.26,0.26,House,1082,HR,100,803.0,2.0,0,0,0,0,0.0,5771.0,1,Don Young,AK,81
86-HR-3450,1959,1,Macroeconomics,Democrat,0,0,To establish and effective program to alleviate conditions of substantial and persistent unemployment and underemployment in certain economically depressed areas,To establish and effective program to alleviate conditions of substantial and persistent unemployment and underemployment in certain economically depressed areas,-0.514,-0.514,House,3450,HR,86,103.0,1.0,0,0,0,0,0.0,0.0,1,"Bowles, Chester B.",CT,1
86-HR-11596,1960,19,Government Operations,Democrat,0,0,To increase annuities payable to certain annuitants from the District of Columbia teachers retirement and annuity. fund,To increase annuities payable to certain annuitants from the District of Columbia teachers retirement and annuity. fund,-0.341,-0.341,House,11596,HR,86,2014.0,1.0,0,0,0,0,0.0,0.0,1,"Foley, John R.",MD,52
92-S-3599,1972,4,Agriculture,Republican,0,0,A bill to expand and improve the direct food distribution program,A bill to expand and improve the direct food distribution program,-0.112,-0.112,Senate,3599,S,92,404.0,1.0,0,0,0,0,0.0,0.0,0,"PERCY, CHARLES H.",IL,21
93-S-3638,1974,2,"Civil Rights, Minority Issues, and Civil Liberties",Republican,0,0,A bill to amend the Act to incorporate Little League Baseball to provide that the league shall be open to girls as well as boys.,A bill to amend the Act to incorporate Little League Baseball to provide that the league shall be open to girls as well as boys.,0.14,0.14,Senate,3638,S,93,202.0,1.0,0,0,0,0,0.0,0.0,1,Hugh Scott,PA,14
104-S-2071,1996,2,"Civil Rights, Minority Issues, and Civil Liberties",Democrat,0,0,"A bill to amend title VII of the Civil Rights Act of 1964 to establish provisions with respect to religious accommodation in employment, and for other purposes.","A bill to amend title VII of the Civil Rights Act of 1964 to establish provisions with respect to religious accommodation in employment, and for other purposes.",-0.405,-0.405,Senate,2071,S,104,207.0,1.0,0,0,0,0,0.0,0.0,0,John Kerry,MA,3
102-HR-1970,1991,15,Defense,Democrat,0,0,To authorize funding for environmental activities of the Department of Defense and to require additional information to be included in the Department's annual environmental report.,To authorize funding for environmental activities of the Department of Defense and to require additional information to be included in the Department's annual environmental report.,-0.353,-0.353,House,1970,HR,102,1614.0,1.0,0,0,0,0,0.0,2103.0,0,George Hochbrueckner,NY,13
91-HR-15902,1970,6,Education,Republican,0,0,To amend title 38 of the United States Code to entitle widows of persons who die of service-connected disabilities incurred in Vietnam to educational assistance for courses pursued by correspondence,To amend title 38 of the United States Code to entitle widows of persons who die of service-connected disabilities incurred in Vietnam to educational assistance for courses pursued by correspondence,0.22,0.22,House,15902,HR,91,601.0,1.0,0,0,0,0,0.0,16.0,1,"Broyhill, Joel T.",VA,40
103-HR-2870,1993,3,Health,Democrat,0,0,To amend title I of the Employee Retirement Income Security Act of 1974 to exempt from preemption under such title certain provisions of the law of the State of Washington relating to health plans.,To amend title I of the Employee Retirement Income Security Act of 1974 to exempt from preemption under such title certain provisions of the law of the State of Washington relating to health plans.,-0.283,-0.283,House,2870,HR,103,302.0,1.0,0,0,0,0,0.0,695.0,0,Myron Kreidler,WA,73
82-HR-5646,1951,8,Energy,Democrat,0,0,"To amend the Atomic Energy Act of 1946, as amended","To amend the Atomic Energy Act of 1946, as amended",-0.043,-0.043,House,5646,HR,82,801.0,1.0,0,1,0,0,0.0,12.0,1,"Durham, Carl T.",NC,47
106-S-375,1999,14,"Banking, Finance, and Domestic Commerce",Republican,0,0,"A bill to create a rural business lending pilot program within the U.S. Small Business Administration, and for other purposes.","A bill to create a rural business lending pilot program within the U.S. Small Business Administration, and for other purposes.",0.223,0.223,Senate,375,S,106,1521.0,1.0,0,0,0,0,1.0,0.0,0,Ted Stevens,AK,81
84-HR-11965,1956,20,Public Lands and Water Management,Republican,0,0,"To provide for the conveyance of certain real property of the United States situated in Clark County, Nev., to the State of Nevada.","To provide for the conveyance of certain real property of the United States situated in Clark County, Nev., to the State of Nevada.",0.267,0.267,House,11965,HR,84,2103.0,1.0,0,0,0,0,0.0,2.0,1,"Young, Clifton",NV,65
100-HR-1692,1987,6,Education,Democrat,0,0,"A bill to amend the Internal Revenue Code of 1986 to make permanent the exclusion from gross income for educational assistance furnished under certain educational assistance programs, and for other purposes.","A bill to amend the Internal Revenue Code of 1986 to make permanent the exclusion from gross income for educational assistance furnished under certain educational assistance programs, and for other purposes.",-0.282,-0.282,House,1692,HR,100,600.0,1.0,0,0,0,0,0.0,3568.0,1,Frank Guarini,NJ,12
105-S-2419,1998,8,Energy,Republican,0,0,"A bill to amend the Public Utility Regulatory Policies Act of 1978 to protect the nation's electricity ratepayers by ensuring that rates charged by qualifying small power producers and qualifying cogenerators do not exceed the incremental cost to the purchasing utility of alternative electric energy at the time of delivery, and for other purposes.","A bill to amend the Public Utility Regulatory Policies Act of 1978 to protect the nation's electricity ratepayers by ensuring that rates charged by qualifying small power producers and qualifying cogenerators do not exceed the incremental cost to the purchasing utility of alternative electric energy at the time of delivery, and for other purposes.",0.177,0.177,Senate,2419,S,105,802.0,1.0,0,0,0,0,1.0,0.0,0,Alfonse D'Amato,NY,13
96-S-1282,1979,7,Environment,Democrat,0,0,A bill to provide for the cleanup of hazardous waste dump sites that present an imminent threat to human health or safety.,A bill to provide for the cleanup of hazardous waste dump sites that present an imminent threat to human health or safety.,-0.376,-0.376,Senate,1282,S,96,704.0,1.0,0,0,0,0,1.0,0.0,0,Harrison Williams,NJ,12
113-S-1658,2013,14,"Banking, Finance, and Domestic Commerce",Republican,0,0,"A bill to amend the Internal Revenue Code of 1986 to make permanent certain small business tax provisions, and for other purposes.","A bill to amend the Internal Revenue Code of 1986 to make permanent certain small business tax provisions, and for other purposes.",0.654,0.654,Senate,1658,S,113,1521.0,1.0,0,0,0,0,0.0,2164.0,1,Patrick Toomey,PA,14
111-HR-149,2009,19,Government Operations,Republican,0,0,"To promote congressional and public awareness, understanding, and political accountability of presidential signing statements.","To promote congressional and public awareness, understanding, and political accountability of presidential signing statements.",0.147,0.147,House,149,HR,111,2012.0,1.0,0,0,0,0,0.0,5831.0,0,Walter Jones,NC,47
103-HR-1785,1993,19,Government Operations,Republican,0,0,To make various budget cuts and for other purposes.,To make various budget cuts and for other purposes.,0.482,0.482,House,1785,HR,103,2000.0,10.0,0,0,0,0,0.0,695.0,1,Joseph Knollenberg,MI,23
93-HR-5249,1973,6,Education,Democrat,0,0,"A bill to extend and amend the Elementary and Secondary Education Act of 1965, and for other purposes.","A bill to extend and amend the Elementary and Secondary Education Act of 1965, and for other purposes.",-0.309,-0.309,House,5249,HR,93,602.0,1.0,0,0,0,0,0.0,716.0,0,Robert Roe,NJ,12
93-HR-9267,1973,19,Government Operations,Democrat,0,0,"A bill to amend title 5, United States Code, to include guards, special policemen, and other personnel of General Services Administration engaged in protective services for Federal buildings within the provisions of such title providing civil service retirement for Government employees engaged in hazardous duties.","A bill to amend title 5, United States Code, to include guards, special policemen, and other personnel of General Services Administration engaged in protective services for Federal buildings within the provisions of such title providing civil service retirement for Government employees engaged in hazardous duties.",-0.383,-0.383,House,9267,HR,93,2004.0,1.0,0,0,0,0,0.0,716.0,0,Dante Fascell,FL,43
80-S-1576,1947,1,Macroeconomics,Republican,0,1,A bill to amend section 3121 of the Internal Revenue Code,A bill to amend section 3121 of the Internal Revenue Code,-0.0002153380151543,,Senate,1576,S,80,107.0,1.0,0,0,1,0,0.0,0.0,1,"Millikin, Euge",CO,62
82-HR-8237,1952,12,Social Welfare,Democrat,0,0,"To amend the Social Security Act, as amended, to provide for the payment of monthly insurance benefits to widows of individuals who died before January 1, 1940,","To amend the Social Security Act, as amended, to provide for the payment of monthly insurance benefits to widows of individuals who died before January 1, 1940,",0.34,0.34,House,8237,HR,82,1303.0,1.0,0,0,0,0,1.0,29.833,1,"Rankin, John E.",MS,46
89-HR-8806,1965,14,"Banking, Finance, and Domestic Commerce",Republican,0,0,"To provide assistance to the States of California, Oregon Washington, Nevada, and Idaho for the reconstruction of areas damaged by recent floods and high waters","To provide assistance to the States of California, Oregon Washington, Nevada, and Idaho for the reconstruction of areas damaged by recent floods and high waters",0.2,0.2,House,8806,HR,89,1523.0,1.0,0,0,0,0,0.0,2.0,1,"Clausen, Don H.",CA,71
106-HR-3050,1999,15,Defense,Democrat,0,0,To provide for the posthumous advancement of Rear Admiral (retired) Husband E. Kimmel and Major General (retired) Walter C. Short on the retired lists of their respective services.,To provide for the posthumous advancement of Rear Admiral (retired) Husband E. Kimmel and Major General (retired) Walter C. Short on the retired lists of their respective services.,-0.263,-0.263,House,3050,HR,106,1608.0,1.0,0,0,0,0,0.0,6556.0,1,John Spratt,SC,48
104-HR-1794,1995,11,"Law, Crime, and Family Issues",Republican,0,0,To amend the Violent Crime Control and Law Enforcement Act of 1994 to double the minimum and maximum penalties for crimes against elderly and child victims.,To amend the Violent Crime Control and Law Enforcement Act of 1994 to double the minimum and maximum penalties for crimes against elderly and child victims.,0.561,0.561,House,1794,HR,104,1211.0,1.0,0,0,0,0,0.0,639.0,0,Dick Chrysler,MI,23
90-HR-19208,1968,18,International Affairs and Foreign Aid,Republican,0,0,"To amend section 620 of the Foreign Assistance Act of 1961 to prohibit assistance under that act to any Communist country until the crew of the U.S. ship Pueblo have, been released, and for other purposes","To amend section 620 of the Foreign Assistance Act of 1961 to prohibit assistance under that act to any Communist country until the crew of the U.S. ship Pueblo have, been released, and for other purposes",0.443,0.443,House,19208,HR,90,1901.0,1.0,0,0,0,0,0.0,0.0,1,"Scherle, William J.",IA,31
110-HR-5188,2008,17,Foreign Trade,Democrat,0,0,To extend the temporary suspension of duty on C12-18 alkenes.,To extend the temporary suspension of duty on C12-18 alkenes.,-0.388,-0.388,House,5188,HR,110,1807.0,1.0,0,0,0,0,1.0,5842.0,0,Carolyn Maloney,NY,13
111-S-3618,2010,8,Energy,Republican,0,0,"A bill to further enable a nuclear renaissance in the United States to improve energy security, reduce future pollution and greenhouse gas emissions, provide large, reliable sources of electricity, and create thousands of high-quality jobs for the citizens of the United States, and for other purposes.","A bill to further enable a nuclear renaissance in the United States to improve energy security, reduce future pollution and greenhouse gas emissions, provide large, reliable sources of electricity, and create thousands of high-quality jobs for the citizens of the United States, and for other purposes.",0.112,0.112,Senate,3618,S,111,801.0,1.0,0,0,0,0,0.0,0.0,0,George Voinovich,OH,24
82-HR-3996,1951,15,Defense,Democrat,0,0,To amend the Veterans Regulations to provide that malignant tumors developing a 10 percent or more degree of disability within 5 years after separation from active service shall be presumed to be service-connected,To amend the Veterans Regulations to provide that malignant tumors developing a 10 percent or more degree of disability within 5 years after separation from active service shall be presumed to be service-connected,-0.247,-0.247,House,3996,HR,82,1608.0,1.0,0,0,0,0,0.0,4.0,1,"Jones, Robert E. Jr.",AL,41
93-HR-4508,1973,20,Public Lands and Water Management,Republican,0,0,A bill to provide for the disposition of funds appropriated to pay a judgment in favor of the Iowa Tribe of Oklahoma and the Iowa Tribe of Kansas and Nebraska and in Indian Claims Commission docket No. 135 and for other purposes.,A bill to provide for the disposition of funds appropriated to pay a judgment in favor of the Iowa Tribe of Oklahoma and the Iowa Tribe of Kansas and Nebraska and in Indian Claims Commission docket No. 135 and for other purposes.,0.407,0.407,House,4508,HR,93,2102.0,1.0,0,0,0,0,0.0,716.0,0,John Camp,OK,53
88-S-2913,1964,20,Public Lands and Water Management,Republican,0,0,"A bill to authorize certain modifications of the project for Calumet Harbor and River, Illinois and Indiana.","A bill to authorize certain modifications of the project for Calumet Harbor and River, Illinois and Indiana.",0.324,0.324,Senate,2913,S,88,2104.0,1.0,0,0,0,0,1.0,15833.0,0,"DIRKSEN, EVERETT MCKINLEY",IL,21
94-S-1480,1975,16,"Space, Science, Technology, and Communications",Republican,0,0,A bill to regulate commerce by providing annual awards to individuals who advance science and technology through remarkable and notable inventions and discoveries.,A bill to regulate commerce by providing annual awards to individuals who advance science and technology through remarkable and notable inventions and discoveries.,0.024,0.024,Senate,1480,S,94,1798.0,1.0,0,0,0,0,0.0,0.0,0,James Pearson,KS,32
80-S-1335,1947,20,Public Lands and Water Management,Republican,0,0,"A bill to provide for the establishment of the Alcove Springs National Park in Marshall County, Kansas","A bill to provide for the establishment of the Alcove Springs National Park in Marshall County, Kansas",-0.0002153380151543,,Senate,1335,S,80,2101.0,1.0,0,0,0,0,0.0,0.0,0,"Capper, Arthur",KS,32
104-S-1638,1996,18,International Affairs and Foreign Aid,Republican,0,0,A bill to promote peace and security in South Asia.,A bill to promote peace and security in South Asia.,0.374,0.374,Senate,1638,S,104,1921.0,1.0,0,0,0,0,1.0,1370.0,0,Larry Pressler,SD,37
105-S-1019,1997,19,Government Operations,Republican,0,1,"An original bill making appropriations for the legislative branch for the fiscal year ending September 30, 1998, and for other purposes.","An original bill making appropriations for the legislative branch for the fiscal year ending September 30, 1998, and for other purposes.",0.335,0.335,Senate,1019,S,105,2000.0,1.0,0,0,1,0,0.0,0.0,1,Robert Bennett,UT,67
102-S-2034,1991,20,Public Lands and Water Management,Republican,0,1,A bill to establish certain requirements for the Secretary of the Interior to undertake environmental cleanup at the Phoenix Indian School property.,A bill to establish certain requirements for the Secretary of the Interior to undertake environmental cleanup at the Phoenix Indian School property.,0.345,0.345,Senate,2034,S,102,2102.0,1.0,0,0,0,0,0.0,1384.0,0,John McCain,AZ,61
113-HR-2674,2013,1,Macroeconomics,Republican,0,0,"To encourage job creation, and for other purposes.","To encourage job creation, and for other purposes.",0.561,0.561,House,2674,HR,113,103.0,8.0,0,0,0,0,0.0,2921.0,1,Vern Buchanan,FL,43
94-HR-14801,1976,19,Government Operations,Democrat,0,0,"A bill to avoid the loss of State and local revenues resulting from the exemption, by Federal law, of Members of Congress from the payment of State and local income taxes to State and local jurisdictions in which they reside.","A bill to avoid the loss of State and local revenues resulting from the exemption, by Federal law, of Members of Congress from the payment of State and local income taxes to State and local jurisdictions in which they reside.",-0.416,-0.416,House,14801,HR,94,2004.0,1.0,0,0,0,0,0.0,1367.0,0,Paul Sarbanes,MD,52
92-HR-15876,1972,3,Health,Democrat,0,0,To permit collective negotiation by professional retail pharmacists with third-party prepared prescription program administrators and sponsors,To permit collective negotiation by professional retail pharmacists with third-party prepared prescription program administrators and sponsors,-0.24,-0.24,House,15876,HR,92,325.0,1.0,0,0,0,0,0.0,18.0,1,"Edmondson, Edmond A.",OK,53
92-S-2149,1971,20,Public Lands and Water Management,Republican,0,0,"A bill to authorize the establishment of the Tallgrass Prairie National Park in the State of Kansas, and for other purposes","A bill to authorize the establishment of the Tallgrass Prairie National Park in the State of Kansas, and for other purposes",0.003,0.003,Senate,2149,S,92,2101.0,1.0,0,0,0,0,0.0,0.0,0,"PEARSON, JAMES B.",KS,32
111-HR-6227,2010,3,Health,Republican,0,0,To establish a temporary prohibition on termination of coverage under the TRICARE program for age of dependents under the age of 26 years.,To establish a temporary prohibition on termination of coverage under the TRICARE program for age of dependents under the age of 26 years.,0.554,0.554,House,6227,HR,111,302.0,1.0,0,0,0,0,0.0,1448.0,0,Gus Bilirakis,FL,43
101-HR-76,1989,20,Public Lands and Water Management,Democrat,1,1,To amend the Wild and Scenic Rivers Act to study the eligibility of the St. Marys River in the States of Florida and Georgia for potential addition to the wild and scenic rivers system.,To amend the Wild and Scenic Rivers Act to study the eligibility of the St. Marys River in the States of Florida and Georgia for potential addition to the wild and scenic rivers system.,-0.087,-0.087,House,76,HR,101,2101.0,2.0,1,1,1,0,0.0,6507.0,0,Charles Bennett,FL,43
111-HR-2825,2009,15,Defense,Democrat,0,0,"To require the Secretary of Defense to debar from contracting with the Department of Defense any company found to have jeopardized the health or safety of Government personnel or found guilty of contract fraud, and for other purposes.","To require the Secretary of Defense to debar from contracting with the Department of Defense any company found to have jeopardized the health or safety of Government personnel or found guilty of contract fraud, and for other purposes.",-0.314,-0.314,House,2825,HR,111,1617.0,1.0,0,0,0,0,0.0,1448.0,1,Carol Shea-Porter,NH,4
92-S-3634,1972,10,Transportation,Democrat,0,0,A bill to provide continued rail transportation in rural America,A bill to provide continued rail transportation in rural America,-0.516,-0.516,Senate,3634,S,92,1005.0,1.0,0,0,0,0,0.0,0.0,0,"MONDALE, WALTER F.",MN,33
85-S-4313,1958,20,Public Lands and Water Management,Republican,0,0,"A bill to authorize certain improvement of the Southwest Harbor, Me.","A bill to authorize certain improvement of the Southwest Harbor, Me.",0.081,0.081,Senate,4313,S,85,2104.0,1.0,0,0,0,0,0.0,8583.0,0,"Smith, Margare",ME,2
87-HR-5987,1961,15,Defense,Democrat,0,0,"To amend title 38, United States Code, to provide veterans benefits for individuals who served with the Russian Railway Service Corps","To amend title 38, United States Code, to provide veterans benefits for individuals who served with the Russian Railway Service Corps",-0.39,-0.39,House,5987,HR,87,1608.0,1.0,0,0,0,0,0.0,16.0,1,"Miller, George P.",CA,71
82-HR-5075,1951,19,Government Operations,Republican,0,0,"To amend the Federal Regulation of Lobbying Act, so as to decrease to $50 the minimum contribution with respect to which certain information must be maintained and reported thereunder","To amend the Federal Regulation of Lobbying Act, so as to decrease to $50 the minimum contribution with respect to which certain information must be maintained and reported thereunder",0.675,0.675,House,5075,HR,82,2012.0,1.0,0,0,0,0,0.0,31.833,1,"Reed, Daniel A.",NY,13
110-S-702,2007,11,"Law, Crime, and Family Issues",Democrat,0,0,A bill to authorize the Attorney General to award grants to State courts to develop and implement State courts interpreter programs.,A bill to authorize the Attorney General to award grants to State courts to develop and implement State courts interpreter programs.,-0.313,-0.313,Senate,702,S,110,1204.0,1.0,0,0,1,0,1.0,0.0,1,Herbert Kohl,WI,25
83-S-1460,1953,20,Public Lands and Water Management,Democrat,0,0,A bill providing for the granting of an easement for an access road to Stanley A. Williams,A bill providing for the granting of an easement for an access road to Stanley A. Williams,0.133,0.133,Senate,1460,S,83,2103.0,1.0,0,0,0,0,0.0,0.0,0,"Johnson, Edwin",CO,62
92-HR-17078,1972,14,"Banking, Finance, and Domestic Commerce",Democrat,0,0,To amend subsection (c) of section 6 of the Securities Exchange Act of 1934 to facilitate off-board trading by members of national securities exchanges,To amend subsection (c) of section 6 of the Securities Exchange Act of 1934 to facilitate off-board trading by members of national securities exchanges,-0.6,-0.6,House,17078,HR,92,1502.0,1.0,0,0,0,0,0.0,18.0,1,"Moss, John E. Jr.",CA,71
89-HR-14711,1966,5,Labor and Employment,Democrat,0,0,"To amend the Manpower Development and Training Act -of 1962, as amended, to provide for special programs for older workers","To amend the Manpower Development and Training Act -of 1962, as amended, to provide for special programs for older workers",-0.33,-0.33,House,14711,HR,89,502.0,1.0,0,0,0,0,0.0,0.0,1,"Roncalio, Teno",WY,68
86-HR-2178,1959,10,Transportation,Democrat,1,1,"To authorize the Secretary of the Army to make certain changes in the road at Whites Branch, Grapevine Reservoir, Tex","To authorize the Secretary of the Army to make certain changes in the road at Whites Branch, Grapevine Reservoir, Tex",-0.131,-0.131,House,2178,HR,86,1002.0,1.0,1,1,0,0,0.0,7.333,1,"Ikard, Frank N.",TX,49
100-S-2610,1988,7,Environment,Republican,0,0,A bill to amend the Safe Drinking Water Act to control lead in drinking water.,A bill to amend the Safe Drinking Water Act to control lead in drinking water.,0.009,0.009,Senate,2610,S,100,701.0,1.0,0,0,0,0,0.0,0.0,1,John Chafee,RI,5
88-HR-12273,1964,11,"Law, Crime, and Family Issues",Republican,0,0,To repeal subsection (d) of section 1346 of title 28 of the United States Code relating to the jurisdiction of the U.S. district courts,To repeal subsection (d) of section 1346 of title 28 of the United States Code relating to the jurisdiction of the U.S. district courts,-0.082,-0.082,House,12273,HR,88,1204.0,1.0,0,0,0,0,0.0,2.0,1,"Mathias, Charles McC. Jr.",MD,52
100-HR-3467,1987,3,Health,Republican,0,0,A bill to amend the Solid Waste Disposal Act to require the Administrator of the Environmental Protection Agency to conduct a study regarding the management of infectious and pathologic waste.,A bill to amend the Solid Waste Disposal Act to require the Administrator of the Environmental Protection Agency to conduct a study regarding the management of infectious and pathologic waste.,0.042,0.042,House,3467,HR,100,332.0,1.0,0,0,0,0,0.0,5771.0,1,Matthew Rinaldo,NJ,12
102-S-1182,1991,20,Public Lands and Water Management,Republican,1,1,"A bill to transfer jurisdiction of certain public lands in the State of Utah to the Forest Service, and for other purposes.","A bill to transfer jurisdiction of certain public lands in the State of Utah to the Forest Service, and for other purposes.",0.502,0.502,Senate,1182,S,102,2103.0,2.0,1,1,1,0,0.0,0.0,1,Edwin Garn,UT,67
98-S-1832,1983,2,"Civil Rights, Minority Issues, and Civil Liberties",Republican,0,0,A bill to amend the Civil Rights Act of 1957 to extend the life of the Commission on Civil Rights.,A bill to amend the Civil Rights Act of 1957 to extend the life of the Commission on Civil Rights.,-0.033,-0.033,Senate,1832,S,98,200.0,1.0,0,0,0,0,0.0,0.0,0,Arlen Specter,PA,14
83-HR-3640,1953,19,Government Operations,Democrat,0,0,To provide that for the purpose of disapproval by the President each provision of an appropriation bill shall be considered a separate bill,To provide that for the purpose of disapproval by the President each provision of an appropriation bill shall be considered a separate bill,-0.609,-0.609,House,3640,HR,83,2011.0,1.0,0,0,0,0,0.0,5.167,1,"Multer, Abraham J.",NY,13
107-HR-3968,2002,11,"Law, Crime, and Family Issues",Republican,0,0,"To provide Capitol-flown flags to the immediate family of fire fighters, law enforcement officers, emergency medical technicians, and other rescue workers who are killed in the line of duty.","To provide Capitol-flown flags to the immediate family of fire fighters, law enforcement officers, emergency medical technicians, and other rescue workers who are killed in the line of duty.",0.122,0.122,House,3968,HR,107,1299.0,1.0,0,0,0,0,0.0,10915.0,0,Benjamin Gilman,NY,13
93-HR-9582,1973,5,Labor and Employment,Republican,0,0,"A bill to amend the Labor Management Relations Act, 1947 to extend injunctive relief specifically to prevent destruction of perishable food crops due to threatened or actual strike or lockups.","A bill to amend the Labor Management Relations Act, 1947 to extend injunctive relief specifically to prevent destruction of perishable food crops due to threatened or actual strike or lockups.",0.11,0.11,House,9582,HR,93,504.0,1.0,0,0,0,0,0.0,716.0,0,Robert Mathias,CA,71
