"combination_id","train_proportion","prompt","model","variable","major_topic"
611,0.25,9,"gpt-3.5","Senate",15
612,0.5,9,"gpt-3.5","Senate",15
613,0.05,10,"gpt-3.5","Senate",15
614,0.1,10,"gpt-3.5","Senate",15
615,0.25,10,"gpt-3.5","Senate",15
616,0.5,10,"gpt-3.5","Senate",15
617,0.05,11,"gpt-3.5","Senate",15
618,0.1,11,"gpt-3.5","Senate",15
619,0.25,11,"gpt-3.5","Senate",15
620,0.5,11,"gpt-3.5","Senate",15
621,0.05,12,"gpt-3.5","Senate",15
622,0.1,12,"gpt-3.5","Senate",15
623,0.25,12,"gpt-3.5","Senate",15
624,0.5,12,"gpt-3.5","Senate",15
625,0.05,1,"gpt-4o","Senate",15
626,0.1,1,"gpt-4o","Senate",15
627,0.25,1,"gpt-4o","Senate",15
628,0.5,1,"gpt-4o","Senate",15
629,0.05,2,"gpt-4o","Senate",15
630,0.1,2,"gpt-4o","Senate",15
631,0.25,2,"gpt-4o","Senate",15
632,0.5,2,"gpt-4o","Senate",15
633,0.05,3,"gpt-4o","Senate",15
634,0.1,3,"gpt-4o","Senate",15
635,0.25,3,"gpt-4o","Senate",15
636,0.5,3,"gpt-4o","Senate",15
637,0.05,4,"gpt-4o","Senate",15
638,0.1,4,"gpt-4o","Senate",15
639,0.25,4,"gpt-4o","Senate",15
640,0.5,4,"gpt-4o","Senate",15
641,0.05,5,"gpt-4o","Senate",15
642,0.1,5,"gpt-4o","Senate",15
643,0.25,5,"gpt-4o","Senate",15
644,0.5,5,"gpt-4o","Senate",15
645,0.05,6,"gpt-4o","Senate",15
646,0.1,6,"gpt-4o","Senate",15
647,0.25,6,"gpt-4o","Senate",15
648,0.5,6,"gpt-4o","Senate",15
649,0.05,7,"gpt-4o","Senate",15
650,0.1,7,"gpt-4o","Senate",15
651,0.25,7,"gpt-4o","Senate",15
652,0.5,7,"gpt-4o","Senate",15
653,0.05,8,"gpt-4o","Senate",15
654,0.1,8,"gpt-4o","Senate",15
655,0.25,8,"gpt-4o","Senate",15
656,0.5,8,"gpt-4o","Senate",15
657,0.05,9,"gpt-4o","Senate",15
658,0.1,9,"gpt-4o","Senate",15
659,0.25,9,"gpt-4o","Senate",15
660,0.5,9,"gpt-4o","Senate",15
661,0.05,10,"gpt-4o","Senate",15
662,0.1,10,"gpt-4o","Senate",15
663,0.25,10,"gpt-4o","Senate",15
664,0.5,10,"gpt-4o","Senate",15
665,0.05,11,"gpt-4o","Senate",15
666,0.1,11,"gpt-4o","Senate",15
667,0.25,11,"gpt-4o","Senate",15
668,0.5,11,"gpt-4o","Senate",15
669,0.05,12,"gpt-4o","Senate",15
670,0.1,12,"gpt-4o","Senate",15
671,0.25,12,"gpt-4o","Senate",15
672,0.5,12,"gpt-4o","Senate",15
673,0.05,1,"gpt-3.5","Democrat",15
674,0.1,1,"gpt-3.5","Democrat",15
675,0.25,1,"gpt-3.5","Democrat",15
676,0.5,1,"gpt-3.5","Democrat",15
677,0.05,2,"gpt-3.5","Democrat",15
678,0.1,2,"gpt-3.5","Democrat",15
679,0.25,2,"gpt-3.5","Democrat",15
680,0.5,2,"gpt-3.5","Democrat",15
681,0.05,3,"gpt-3.5","Democrat",15
682,0.1,3,"gpt-3.5","Democrat",15
683,0.25,3,"gpt-3.5","Democrat",15
684,0.5,3,"gpt-3.5","Democrat",15
685,0.05,4,"gpt-3.5","Democrat",15
686,0.1,4,"gpt-3.5","Democrat",15
687,0.25,4,"gpt-3.5","Democrat",15
688,0.5,4,"gpt-3.5","Democrat",15
689,0.05,5,"gpt-3.5","Democrat",15
690,0.1,5,"gpt-3.5","Democrat",15
691,0.25,5,"gpt-3.5","Democrat",15
692,0.5,5,"gpt-3.5","Democrat",15
693,0.05,6,"gpt-3.5","Democrat",15
694,0.1,6,"gpt-3.5","Democrat",15
695,0.25,6,"gpt-3.5","Democrat",15
696,0.5,6,"gpt-3.5","Democrat",15
697,0.05,7,"gpt-3.5","Democrat",15
698,0.1,7,"gpt-3.5","Democrat",15
699,0.25,7,"gpt-3.5","Democrat",15
700,0.5,7,"gpt-3.5","Democrat",15
701,0.05,8,"gpt-3.5","Democrat",15
702,0.1,8,"gpt-3.5","Democrat",15
703,0.25,8,"gpt-3.5","Democrat",15
704,0.5,8,"gpt-3.5","Democrat",15
705,0.05,9,"gpt-3.5","Democrat",15
706,0.1,9,"gpt-3.5","Democrat",15
707,0.25,9,"gpt-3.5","Democrat",15
708,0.5,9,"gpt-3.5","Democrat",15
709,0.05,10,"gpt-3.5","Democrat",15
710,0.1,10,"gpt-3.5","Democrat",15
711,0.25,10,"gpt-3.5","Democrat",15
712,0.5,10,"gpt-3.5","Democrat",15
713,0.05,11,"gpt-3.5","Democrat",15
714,0.1,11,"gpt-3.5","Democrat",15
715,0.25,11,"gpt-3.5","Democrat",15
716,0.5,11,"gpt-3.5","Democrat",15
717,0.05,12,"gpt-3.5","Democrat",15
718,0.1,12,"gpt-3.5","Democrat",15
719,0.25,12,"gpt-3.5","Democrat",15
720,0.5,12,"gpt-3.5","Democrat",15
721,0.05,1,"gpt-4o","Democrat",15
722,0.1,1,"gpt-4o","Democrat",15
723,0.25,1,"gpt-4o","Democrat",15
724,0.5,1,"gpt-4o","Democrat",15
725,0.05,2,"gpt-4o","Democrat",15
726,0.1,2,"gpt-4o","Democrat",15
727,0.25,2,"gpt-4o","Democrat",15
728,0.5,2,"gpt-4o","Democrat",15
729,0.05,3,"gpt-4o","Democrat",15
730,0.1,3,"gpt-4o","Democrat",15
731,0.25,3,"gpt-4o","Democrat",15
732,0.5,3,"gpt-4o","Democrat",15
733,0.05,4,"gpt-4o","Democrat",15
734,0.1,4,"gpt-4o","Democrat",15
735,0.25,4,"gpt-4o","Democrat",15
736,0.5,4,"gpt-4o","Democrat",15
737,0.05,5,"gpt-4o","Democrat",15
738,0.1,5,"gpt-4o","Democrat",15
739,0.25,5,"gpt-4o","Democrat",15
740,0.5,5,"gpt-4o","Democrat",15
741,0.05,6,"gpt-4o","Democrat",15
742,0.1,6,"gpt-4o","Democrat",15
743,0.25,6,"gpt-4o","Democrat",15
744,0.5,6,"gpt-4o","Democrat",15
745,0.05,7,"gpt-4o","Democrat",15
746,0.1,7,"gpt-4o","Democrat",15
747,0.25,7,"gpt-4o","Democrat",15
748,0.5,7,"gpt-4o","Democrat",15
749,0.05,8,"gpt-4o","Democrat",15
750,0.1,8,"gpt-4o","Democrat",15
751,0.25,8,"gpt-4o","Democrat",15
752,0.5,8,"gpt-4o","Democrat",15
753,0.05,9,"gpt-4o","Democrat",15
754,0.1,9,"gpt-4o","Democrat",15
755,0.25,9,"gpt-4o","Democrat",15
756,0.5,9,"gpt-4o","Democrat",15
757,0.05,10,"gpt-4o","Democrat",15
758,0.1,10,"gpt-4o","Democrat",15
759,0.25,10,"gpt-4o","Democrat",15
760,0.5,10,"gpt-4o","Democrat",15
761,0.05,11,"gpt-4o","Democrat",15
762,0.1,11,"gpt-4o","Democrat",15
763,0.25,11,"gpt-4o","Democrat",15
764,0.5,11,"gpt-4o","Democrat",15
765,0.05,12,"gpt-4o","Democrat",15
766,0.1,12,"gpt-4o","Democrat",15
767,0.25,12,"gpt-4o","Democrat",15
768,0.5,12,"gpt-4o","Democrat",15
769,0.05,1,"gpt-3.5","DW1",15
770,0.1,1,"gpt-3.5","DW1",15
771,0.25,1,"gpt-3.5","DW1",15
772,0.5,1,"gpt-3.5","DW1",15
773,0.05,2,"gpt-3.5","DW1",15
774,0.1,2,"gpt-3.5","DW1",15
775,0.25,2,"gpt-3.5","DW1",15
776,0.5,2,"gpt-3.5","DW1",15
777,0.05,3,"gpt-3.5","DW1",15
778,0.1,3,"gpt-3.5","DW1",15
779,0.25,3,"gpt-3.5","DW1",15
780,0.5,3,"gpt-3.5","DW1",15
781,0.05,4,"gpt-3.5","DW1",15
782,0.1,4,"gpt-3.5","DW1",15
783,0.25,4,"gpt-3.5","DW1",15
784,0.5,4,"gpt-3.5","DW1",15
785,0.05,5,"gpt-3.5","DW1",15
786,0.1,5,"gpt-3.5","DW1",15
787,0.25,5,"gpt-3.5","DW1",15
788,0.5,5,"gpt-3.5","DW1",15
789,0.05,6,"gpt-3.5","DW1",15
790,0.1,6,"gpt-3.5","DW1",15
791,0.25,6,"gpt-3.5","DW1",15
792,0.5,6,"gpt-3.5","DW1",15
793,0.05,7,"gpt-3.5","DW1",15
794,0.1,7,"gpt-3.5","DW1",15
795,0.25,7,"gpt-3.5","DW1",15
796,0.5,7,"gpt-3.5","DW1",15
797,0.05,8,"gpt-3.5","DW1",15
798,0.1,8,"gpt-3.5","DW1",15
799,0.25,8,"gpt-3.5","DW1",15
800,0.5,8,"gpt-3.5","DW1",15
801,0.05,9,"gpt-3.5","DW1",15
802,0.1,9,"gpt-3.5","DW1",15
803,0.25,9,"gpt-3.5","DW1",15
804,0.5,9,"gpt-3.5","DW1",15
805,0.05,10,"gpt-3.5","DW1",15
806,0.1,10,"gpt-3.5","DW1",15
807,0.25,10,"gpt-3.5","DW1",15
808,0.5,10,"gpt-3.5","DW1",15
809,0.05,11,"gpt-3.5","DW1",15
810,0.1,11,"gpt-3.5","DW1",15
811,0.25,11,"gpt-3.5","DW1",15
812,0.5,11,"gpt-3.5","DW1",15
813,0.05,12,"gpt-3.5","DW1",15
814,0.1,12,"gpt-3.5","DW1",15
815,0.25,12,"gpt-3.5","DW1",15
816,0.5,12,"gpt-3.5","DW1",15
817,0.05,1,"gpt-4o","DW1",15
818,0.1,1,"gpt-4o","DW1",15
819,0.25,1,"gpt-4o","DW1",15
820,0.5,1,"gpt-4o","DW1",15
821,0.05,2,"gpt-4o","DW1",15
822,0.1,2,"gpt-4o","DW1",15
823,0.25,2,"gpt-4o","DW1",15
824,0.5,2,"gpt-4o","DW1",15
825,0.05,3,"gpt-4o","DW1",15
826,0.1,3,"gpt-4o","DW1",15
827,0.25,3,"gpt-4o","DW1",15
828,0.5,3,"gpt-4o","DW1",15
829,0.05,4,"gpt-4o","DW1",15
830,0.1,4,"gpt-4o","DW1",15
831,0.25,4,"gpt-4o","DW1",15
832,0.5,4,"gpt-4o","DW1",15
833,0.05,5,"gpt-4o","DW1",15
834,0.1,5,"gpt-4o","DW1",15
835,0.25,5,"gpt-4o","DW1",15
836,0.5,5,"gpt-4o","DW1",15
837,0.05,6,"gpt-4o","DW1",15
838,0.1,6,"gpt-4o","DW1",15
839,0.25,6,"gpt-4o","DW1",15
840,0.5,6,"gpt-4o","DW1",15
841,0.05,7,"gpt-4o","DW1",15
842,0.1,7,"gpt-4o","DW1",15
843,0.25,7,"gpt-4o","DW1",15
844,0.5,7,"gpt-4o","DW1",15
845,0.05,8,"gpt-4o","DW1",15
846,0.1,8,"gpt-4o","DW1",15
847,0.25,8,"gpt-4o","DW1",15
848,0.5,8,"gpt-4o","DW1",15
849,0.05,9,"gpt-4o","DW1",15
850,0.1,9,"gpt-4o","DW1",15
851,0.25,9,"gpt-4o","DW1",15
852,0.5,9,"gpt-4o","DW1",15
853,0.05,10,"gpt-4o","DW1",15
854,0.1,10,"gpt-4o","DW1",15
855,0.25,10,"gpt-4o","DW1",15
856,0.5,10,"gpt-4o","DW1",15
857,0.05,11,"gpt-4o","DW1",15
858,0.1,11,"gpt-4o","DW1",15
859,0.25,11,"gpt-4o","DW1",15
860,0.5,11,"gpt-4o","DW1",15
861,0.05,12,"gpt-4o","DW1",15
862,0.1,12,"gpt-4o","DW1",15
863,0.25,12,"gpt-4o","DW1",15
864,0.5,12,"gpt-4o","DW1",15
865,0.05,1,"gpt-3.5","Senate",19
866,0.1,1,"gpt-3.5","Senate",19
867,0.25,1,"gpt-3.5","Senate",19
868,0.5,1,"gpt-3.5","Senate",19
869,0.05,2,"gpt-3.5","Senate",19
870,0.1,2,"gpt-3.5","Senate",19
871,0.25,2,"gpt-3.5","Senate",19
872,0.5,2,"gpt-3.5","Senate",19
873,0.05,3,"gpt-3.5","Senate",19
874,0.1,3,"gpt-3.5","Senate",19
875,0.25,3,"gpt-3.5","Senate",19
876,0.5,3,"gpt-3.5","Senate",19
877,0.05,4,"gpt-3.5","Senate",19
878,0.1,4,"gpt-3.5","Senate",19
879,0.25,4,"gpt-3.5","Senate",19
880,0.5,4,"gpt-3.5","Senate",19
881,0.05,5,"gpt-3.5","Senate",19
882,0.1,5,"gpt-3.5","Senate",19
883,0.25,5,"gpt-3.5","Senate",19
884,0.5,5,"gpt-3.5","Senate",19
885,0.05,6,"gpt-3.5","Senate",19
886,0.1,6,"gpt-3.5","Senate",19
887,0.25,6,"gpt-3.5","Senate",19
888,0.5,6,"gpt-3.5","Senate",19
889,0.05,7,"gpt-3.5","Senate",19
890,0.1,7,"gpt-3.5","Senate",19
891,0.25,7,"gpt-3.5","Senate",19
892,0.5,7,"gpt-3.5","Senate",19
893,0.05,8,"gpt-3.5","Senate",19
894,0.1,8,"gpt-3.5","Senate",19
895,0.25,8,"gpt-3.5","Senate",19
896,0.5,8,"gpt-3.5","Senate",19
897,0.05,9,"gpt-3.5","Senate",19
898,0.1,9,"gpt-3.5","Senate",19
899,0.25,9,"gpt-3.5","Senate",19
900,0.5,9,"gpt-3.5","Senate",19
901,0.05,10,"gpt-3.5","Senate",19
902,0.1,10,"gpt-3.5","Senate",19
903,0.25,10,"gpt-3.5","Senate",19
904,0.5,10,"gpt-3.5","Senate",19
905,0.05,11,"gpt-3.5","Senate",19
906,0.1,11,"gpt-3.5","Senate",19
907,0.25,11,"gpt-3.5","Senate",19
908,0.5,11,"gpt-3.5","Senate",19
909,0.05,12,"gpt-3.5","Senate",19
910,0.1,12,"gpt-3.5","Senate",19
911,0.25,12,"gpt-3.5","Senate",19
912,0.5,12,"gpt-3.5","Senate",19
913,0.05,1,"gpt-4o","Senate",19
914,0.1,1,"gpt-4o","Senate",19
915,0.25,1,"gpt-4o","Senate",19
916,0.5,1,"gpt-4o","Senate",19
917,0.05,2,"gpt-4o","Senate",19
918,0.1,2,"gpt-4o","Senate",19
919,0.25,2,"gpt-4o","Senate",19
920,0.5,2,"gpt-4o","Senate",19
921,0.05,3,"gpt-4o","Senate",19
922,0.1,3,"gpt-4o","Senate",19
923,0.25,3,"gpt-4o","Senate",19
924,0.5,3,"gpt-4o","Senate",19
925,0.05,4,"gpt-4o","Senate",19
926,0.1,4,"gpt-4o","Senate",19
927,0.25,4,"gpt-4o","Senate",19
928,0.5,4,"gpt-4o","Senate",19
929,0.05,5,"gpt-4o","Senate",19
930,0.1,5,"gpt-4o","Senate",19
931,0.25,5,"gpt-4o","Senate",19
932,0.5,5,"gpt-4o","Senate",19
933,0.05,6,"gpt-4o","Senate",19
934,0.1,6,"gpt-4o","Senate",19
935,0.25,6,"gpt-4o","Senate",19
936,0.5,6,"gpt-4o","Senate",19
937,0.05,7,"gpt-4o","Senate",19
938,0.1,7,"gpt-4o","Senate",19
939,0.25,7,"gpt-4o","Senate",19
940,0.5,7,"gpt-4o","Senate",19
941,0.05,8,"gpt-4o","Senate",19
942,0.1,8,"gpt-4o","Senate",19
943,0.25,8,"gpt-4o","Senate",19
944,0.5,8,"gpt-4o","Senate",19
945,0.05,9,"gpt-4o","Senate",19
946,0.1,9,"gpt-4o","Senate",19
947,0.25,9,"gpt-4o","Senate",19
948,0.5,9,"gpt-4o","Senate",19
949,0.05,10,"gpt-4o","Senate",19
950,0.1,10,"gpt-4o","Senate",19
951,0.25,10,"gpt-4o","Senate",19
952,0.5,10,"gpt-4o","Senate",19
953,0.05,11,"gpt-4o","Senate",19
954,0.1,11,"gpt-4o","Senate",19
955,0.25,11,"gpt-4o","Senate",19
956,0.5,11,"gpt-4o","Senate",19
957,0.05,12,"gpt-4o","Senate",19
958,0.1,12,"gpt-4o","Senate",19
959,0.25,12,"gpt-4o","Senate",19
960,0.5,12,"gpt-4o","Senate",19
961,0.05,1,"gpt-3.5","Democrat",19
962,0.1,1,"gpt-3.5","Democrat",19
963,0.25,1,"gpt-3.5","Democrat",19
964,0.5,1,"gpt-3.5","Democrat",19
965,0.05,2,"gpt-3.5","Democrat",19
966,0.1,2,"gpt-3.5","Democrat",19
967,0.25,2,"gpt-3.5","Democrat",19
968,0.5,2,"gpt-3.5","Democrat",19
969,0.05,3,"gpt-3.5","Democrat",19
970,0.1,3,"gpt-3.5","Democrat",19
971,0.25,3,"gpt-3.5","Democrat",19
972,0.5,3,"gpt-3.5","Democrat",19
973,0.05,4,"gpt-3.5","Democrat",19
974,0.1,4,"gpt-3.5","Democrat",19
975,0.25,4,"gpt-3.5","Democrat",19
976,0.5,4,"gpt-3.5","Democrat",19
977,0.05,5,"gpt-3.5","Democrat",19
978,0.1,5,"gpt-3.5","Democrat",19
979,0.25,5,"gpt-3.5","Democrat",19
980,0.5,5,"gpt-3.5","Democrat",19
981,0.05,6,"gpt-3.5","Democrat",19
982,0.1,6,"gpt-3.5","Democrat",19
983,0.25,6,"gpt-3.5","Democrat",19
984,0.5,6,"gpt-3.5","Democrat",19
985,0.05,7,"gpt-3.5","Democrat",19
986,0.1,7,"gpt-3.5","Democrat",19
987,0.25,7,"gpt-3.5","Democrat",19
988,0.5,7,"gpt-3.5","Democrat",19
989,0.05,8,"gpt-3.5","Democrat",19
990,0.1,8,"gpt-3.5","Democrat",19
991,0.25,8,"gpt-3.5","Democrat",19
992,0.5,8,"gpt-3.5","Democrat",19
993,0.05,9,"gpt-3.5","Democrat",19
994,0.1,9,"gpt-3.5","Democrat",19
995,0.25,9,"gpt-3.5","Democrat",19
996,0.5,9,"gpt-3.5","Democrat",19
997,0.05,10,"gpt-3.5","Democrat",19
998,0.1,10,"gpt-3.5","Democrat",19
999,0.25,10,"gpt-3.5","Democrat",19
1000,0.5,10,"gpt-3.5","Democrat",19
1001,0.05,11,"gpt-3.5","Democrat",19
1002,0.1,11,"gpt-3.5","Democrat",19
1003,0.25,11,"gpt-3.5","Democrat",19
1004,0.5,11,"gpt-3.5","Democrat",19
1005,0.05,12,"gpt-3.5","Democrat",19
1006,0.1,12,"gpt-3.5","Democrat",19
1007,0.25,12,"gpt-3.5","Democrat",19
1008,0.5,12,"gpt-3.5","Democrat",19
1009,0.05,1,"gpt-4o","Democrat",19
1010,0.1,1,"gpt-4o","Democrat",19
1011,0.25,1,"gpt-4o","Democrat",19
1012,0.5,1,"gpt-4o","Democrat",19
1013,0.05,2,"gpt-4o","Democrat",19
1014,0.1,2,"gpt-4o","Democrat",19
1015,0.25,2,"gpt-4o","Democrat",19
1016,0.5,2,"gpt-4o","Democrat",19
1017,0.05,3,"gpt-4o","Democrat",19
1018,0.1,3,"gpt-4o","Democrat",19
1019,0.25,3,"gpt-4o","Democrat",19
1020,0.5,3,"gpt-4o","Democrat",19
1021,0.05,4,"gpt-4o","Democrat",19
1022,0.1,4,"gpt-4o","Democrat",19
1023,0.25,4,"gpt-4o","Democrat",19
1024,0.5,4,"gpt-4o","Democrat",19
1025,0.05,5,"gpt-4o","Democrat",19
1026,0.1,5,"gpt-4o","Democrat",19
1027,0.25,5,"gpt-4o","Democrat",19
1028,0.5,5,"gpt-4o","Democrat",19
1029,0.05,6,"gpt-4o","Democrat",19
1030,0.1,6,"gpt-4o","Democrat",19
1031,0.25,6,"gpt-4o","Democrat",19
1032,0.5,6,"gpt-4o","Democrat",19
1033,0.05,7,"gpt-4o","Democrat",19
1034,0.1,7,"gpt-4o","Democrat",19
1035,0.25,7,"gpt-4o","Democrat",19
1036,0.5,7,"gpt-4o","Democrat",19
1037,0.05,8,"gpt-4o","Democrat",19
1038,0.1,8,"gpt-4o","Democrat",19
1039,0.25,8,"gpt-4o","Democrat",19
1040,0.5,8,"gpt-4o","Democrat",19
1041,0.05,9,"gpt-4o","Democrat",19
1042,0.1,9,"gpt-4o","Democrat",19
1043,0.25,9,"gpt-4o","Democrat",19
1044,0.5,9,"gpt-4o","Democrat",19
1045,0.05,10,"gpt-4o","Democrat",19
1046,0.1,10,"gpt-4o","Democrat",19
1047,0.25,10,"gpt-4o","Democrat",19
1048,0.5,10,"gpt-4o","Democrat",19
1049,0.05,11,"gpt-4o","Democrat",19
1050,0.1,11,"gpt-4o","Democrat",19
1051,0.25,11,"gpt-4o","Democrat",19
1052,0.5,11,"gpt-4o","Democrat",19
1053,0.05,12,"gpt-4o","Democrat",19
1054,0.1,12,"gpt-4o","Democrat",19
1055,0.25,12,"gpt-4o","Democrat",19
1056,0.5,12,"gpt-4o","Democrat",19
1057,0.05,1,"gpt-3.5","DW1",19
1058,0.1,1,"gpt-3.5","DW1",19
1059,0.25,1,"gpt-3.5","DW1",19
1060,0.5,1,"gpt-3.5","DW1",19
1061,0.05,2,"gpt-3.5","DW1",19
1062,0.1,2,"gpt-3.5","DW1",19
1063,0.25,2,"gpt-3.5","DW1",19
1064,0.5,2,"gpt-3.5","DW1",19
1065,0.05,3,"gpt-3.5","DW1",19
1066,0.1,3,"gpt-3.5","DW1",19
1067,0.25,3,"gpt-3.5","DW1",19
1068,0.5,3,"gpt-3.5","DW1",19
1069,0.05,4,"gpt-3.5","DW1",19
1070,0.1,4,"gpt-3.5","DW1",19
1071,0.25,4,"gpt-3.5","DW1",19
1072,0.5,4,"gpt-3.5","DW1",19
1073,0.05,5,"gpt-3.5","DW1",19
1074,0.1,5,"gpt-3.5","DW1",19
1075,0.25,5,"gpt-3.5","DW1",19
1076,0.5,5,"gpt-3.5","DW1",19
1077,0.05,6,"gpt-3.5","DW1",19
1078,0.1,6,"gpt-3.5","DW1",19
1079,0.25,6,"gpt-3.5","DW1",19
1080,0.5,6,"gpt-3.5","DW1",19
1081,0.05,7,"gpt-3.5","DW1",19
1082,0.1,7,"gpt-3.5","DW1",19
1083,0.25,7,"gpt-3.5","DW1",19
1084,0.5,7,"gpt-3.5","DW1",19
1085,0.05,8,"gpt-3.5","DW1",19
1086,0.1,8,"gpt-3.5","DW1",19
1087,0.25,8,"gpt-3.5","DW1",19
1088,0.5,8,"gpt-3.5","DW1",19
1089,0.05,9,"gpt-3.5","DW1",19
1090,0.1,9,"gpt-3.5","DW1",19
1091,0.25,9,"gpt-3.5","DW1",19
1092,0.5,9,"gpt-3.5","DW1",19
1093,0.05,10,"gpt-3.5","DW1",19
1094,0.1,10,"gpt-3.5","DW1",19
1095,0.25,10,"gpt-3.5","DW1",19
1096,0.5,10,"gpt-3.5","DW1",19
1097,0.05,11,"gpt-3.5","DW1",19
1098,0.1,11,"gpt-3.5","DW1",19
1099,0.25,11,"gpt-3.5","DW1",19
1100,0.5,11,"gpt-3.5","DW1",19
1101,0.05,12,"gpt-3.5","DW1",19
1102,0.1,12,"gpt-3.5","DW1",19
1103,0.25,12,"gpt-3.5","DW1",19
1104,0.5,12,"gpt-3.5","DW1",19
1105,0.05,1,"gpt-4o","DW1",19
1106,0.1,1,"gpt-4o","DW1",19
1107,0.25,1,"gpt-4o","DW1",19
1108,0.5,1,"gpt-4o","DW1",19
1109,0.05,2,"gpt-4o","DW1",19
1110,0.1,2,"gpt-4o","DW1",19
1111,0.25,2,"gpt-4o","DW1",19
1112,0.5,2,"gpt-4o","DW1",19
1113,0.05,3,"gpt-4o","DW1",19
1114,0.1,3,"gpt-4o","DW1",19
1115,0.25,3,"gpt-4o","DW1",19
1116,0.5,3,"gpt-4o","DW1",19
1117,0.05,4,"gpt-4o","DW1",19
1118,0.1,4,"gpt-4o","DW1",19
1119,0.25,4,"gpt-4o","DW1",19
1120,0.5,4,"gpt-4o","DW1",19
1121,0.05,5,"gpt-4o","DW1",19
1122,0.1,5,"gpt-4o","DW1",19
1123,0.25,5,"gpt-4o","DW1",19
1124,0.5,5,"gpt-4o","DW1",19
1125,0.05,6,"gpt-4o","DW1",19
1126,0.1,6,"gpt-4o","DW1",19
1127,0.25,6,"gpt-4o","DW1",19
1128,0.5,6,"gpt-4o","DW1",19
1129,0.05,7,"gpt-4o","DW1",19
1130,0.1,7,"gpt-4o","DW1",19
1131,0.25,7,"gpt-4o","DW1",19
1132,0.5,7,"gpt-4o","DW1",19
1133,0.05,8,"gpt-4o","DW1",19
1134,0.1,8,"gpt-4o","DW1",19
1135,0.25,8,"gpt-4o","DW1",19
1136,0.5,8,"gpt-4o","DW1",19
1137,0.05,9,"gpt-4o","DW1",19
1138,0.1,9,"gpt-4o","DW1",19
1139,0.25,9,"gpt-4o","DW1",19
1140,0.5,9,"gpt-4o","DW1",19
1141,0.05,10,"gpt-4o","DW1",19
1142,0.1,10,"gpt-4o","DW1",19
1143,0.25,10,"gpt-4o","DW1",19
1144,0.5,10,"gpt-4o","DW1",19
1145,0.05,11,"gpt-4o","DW1",19
1146,0.1,11,"gpt-4o","DW1",19
1147,0.25,11,"gpt-4o","DW1",19
1148,0.5,11,"gpt-4o","DW1",19
1149,0.05,12,"gpt-4o","DW1",19
1150,0.1,12,"gpt-4o","DW1",19
1151,0.25,12,"gpt-4o","DW1",19
1152,0.5,12,"gpt-4o","DW1",19
1153,0.05,1,"gpt-3.5","Senate",20
1154,0.1,1,"gpt-3.5","Senate",20
1155,0.25,1,"gpt-3.5","Senate",20
1156,0.5,1,"gpt-3.5","Senate",20
1157,0.05,2,"gpt-3.5","Senate",20
1158,0.1,2,"gpt-3.5","Senate",20
1159,0.25,2,"gpt-3.5","Senate",20
1160,0.5,2,"gpt-3.5","Senate",20
1161,0.05,3,"gpt-3.5","Senate",20
1162,0.1,3,"gpt-3.5","Senate",20
1163,0.25,3,"gpt-3.5","Senate",20
1164,0.5,3,"gpt-3.5","Senate",20
1165,0.05,4,"gpt-3.5","Senate",20
1166,0.1,4,"gpt-3.5","Senate",20
1167,0.25,4,"gpt-3.5","Senate",20
1168,0.5,4,"gpt-3.5","Senate",20
1169,0.05,5,"gpt-3.5","Senate",20
1170,0.1,5,"gpt-3.5","Senate",20
1171,0.25,5,"gpt-3.5","Senate",20
1172,0.5,5,"gpt-3.5","Senate",20
1173,0.05,6,"gpt-3.5","Senate",20
1174,0.1,6,"gpt-3.5","Senate",20
1175,0.25,6,"gpt-3.5","Senate",20
1176,0.5,6,"gpt-3.5","Senate",20
1177,0.05,7,"gpt-3.5","Senate",20
1178,0.1,7,"gpt-3.5","Senate",20
1179,0.25,7,"gpt-3.5","Senate",20
1180,0.5,7,"gpt-3.5","Senate",20
1181,0.05,8,"gpt-3.5","Senate",20
1182,0.1,8,"gpt-3.5","Senate",20
1183,0.25,8,"gpt-3.5","Senate",20
1184,0.5,8,"gpt-3.5","Senate",20
1185,0.05,9,"gpt-3.5","Senate",20
1186,0.1,9,"gpt-3.5","Senate",20
1187,0.25,9,"gpt-3.5","Senate",20
1188,0.5,9,"gpt-3.5","Senate",20
1189,0.05,10,"gpt-3.5","Senate",20
1190,0.1,10,"gpt-3.5","Senate",20
1191,0.25,10,"gpt-3.5","Senate",20
1192,0.5,10,"gpt-3.5","Senate",20
1193,0.05,11,"gpt-3.5","Senate",20
1194,0.1,11,"gpt-3.5","Senate",20
1195,0.25,11,"gpt-3.5","Senate",20
1196,0.5,11,"gpt-3.5","Senate",20
1197,0.05,12,"gpt-3.5","Senate",20
1198,0.1,12,"gpt-3.5","Senate",20
1199,0.25,12,"gpt-3.5","Senate",20
1200,0.5,12,"gpt-3.5","Senate",20
1201,0.05,1,"gpt-4o","Senate",20
1202,0.1,1,"gpt-4o","Senate",20
1203,0.25,1,"gpt-4o","Senate",20
1204,0.5,1,"gpt-4o","Senate",20
1205,0.05,2,"gpt-4o","Senate",20
1206,0.1,2,"gpt-4o","Senate",20
1207,0.25,2,"gpt-4o","Senate",20
1208,0.5,2,"gpt-4o","Senate",20
1209,0.05,3,"gpt-4o","Senate",20
1210,0.1,3,"gpt-4o","Senate",20
1211,0.25,3,"gpt-4o","Senate",20
1212,0.5,3,"gpt-4o","Senate",20
