ID,MajorLLM,MajorTextLLM,ConfidenceLLM,ExplanationLLM,InputTokens,OutputTokens
3995,20,Public Lands and Water Management,0.98,,1527,15
3996,20,Public Lands and Water Management,0.95,,1646,15
3997,20,Public Lands and Water Management,0.95,,235,6
3998,20,Public Lands and Water Management,0.95,,237,18
3999,20,Public Lands and Water Management,0.95,,244,18
4000,20,Public Lands and Water Management,0.95,,256,18
4001,20,Public Lands and Water Management,0.95,,251,18
4002,20,Public Lands and Water Management,0.95,,253,18
4003,20,Public Lands and Water Management,0.95,"The bill pertains to fixing the boundary of Shenandoah National Park, which falls under the management and regulation of public lands and water resources.",255,51
4004,20,Public Lands and Water Management,0.95,"The bill pertains to fixing the boundary of Shenandoah National Park, which falls under the management and regulation of public lands and water resources.",263,51
4005,20,Public Lands and Water Management,0.95,"The bill pertains to fixing the boundary of Shenandoah National Park, which falls under the management and regulation of public lands and water resources.",260,51
4006,20,Public Lands and Water Management,0.95,,1619,18
4007,20,Public Lands and Water Management,0.95,,1531,18
4008,20,Public Lands and Water Management,0.95,,1650,18
4009,12,Social Welfare,0.90,,258,6
4010,12,Social Welfare,0.85,,261,19
4011,12,Social Welfare,0.85,,268,19
4012,12,Social Welfare,0.85,,280,19
4013,12,Social Welfare,0.85,,275,19
4014,12,Social Welfare,0.85,,277,19
4015,12,Social Welfare,0.85,"The bill focuses on welfare reform and replacing public assistance and food stamps, which falls under the category of Social Welfare.",279,47
4016,12,Social Welfare,0.90,The bill focuses on welfare reform by replacing public assistance and food stamps with a new system of allowances and refundable credits.,288,48
4017,12,Social Welfare,0.85,"The bill focuses on welfare reform and replacing public assistance and food stamps, making it most closely related to social welfare issues.",284,48
4018,12,Social Welfare,0.98,,1640,15
4019,12,Social Welfare,0.98,,1552,15
4020,12,Social Welfare,0.92,,1671,15
4021,12,Social Welfare,0.95,,259,6
4022,12,Social Welfare,0.95,,261,18
4023,12,Social Welfare,0.95,,268,18
4024,12,Social Welfare,0.95,,280,18
4025,12,Social Welfare,0.95,,275,18
4026,12,Social Welfare,0.95,,277,18
4027,12,Social Welfare,0.95,"The bill focuses on reforming welfare programs by replacing public assistance and food stamps with allowances and refundable credits, which directly pertains to social welfare.",279,51
4028,12,Social Welfare,0.95,"The bill focuses on reforming welfare programs by replacing public assistance and food stamps with allowances and refundable credits, which directly pertains to social welfare.",287,51
4029,12,Social Welfare,0.95,"The bill focuses on reforming welfare programs by replacing public assistance and food stamps with allowances and refundable credits, which directly pertains to social welfare.",284,51
4030,12,Social Welfare,0.95,,1643,18
4031,12,Social Welfare,0.95,,1555,18
4032,12,Social Welfare,0.95,,1674,18
4033,10,Transportation,0.95,,253,6
4034,10,Transportation,0.95,,256,19
4035,10,Transportation,0.85,,263,19
4036,10,Transportation,0.95,,275,19
4037,10,Transportation,0.85,,270,19
4038,10,Transportation,0.95,,272,19
4039,10,Transportation,0.95,"The bill focuses on transportation technology and high-speed rail systems, falling under the Transportation category.",274,42
4040,10,Transportation,0.95,"The bill focuses on transportation technology and high-speed rail systems, falling under the Transportation category.",283,42
4041,10,Transportation,0.95,"The bill focuses on transportation technology and high-speed rail systems, falling under the Transportation category.",279,42
4042,10,Transportation,0.98,,1635,15
4043,10,Transportation,0.98,,1547,19
4044,10,Transportation,0.95,,1666,19
4045,10,Transportation,0.95,,255,6
4046,10,Transportation,0.95,,257,18
4047,10,Transportation,0.95,,264,18
4048,10,Transportation,0.95,,276,18
4049,10,Transportation,0.95,,271,18
4050,10,Transportation,0.95,,273,18
4051,10,Transportation,0.95,"The bill focuses on the development and implementation of magnetic levitation and high-speed rail transportation systems, which directly pertains to transportation.",275,48
4052,10,Transportation,0.95,"The bill focuses on the development and implementation of magnetic levitation and high-speed rail transportation systems, which directly pertains to transportation.",283,48
4053,10,Transportation,0.95,"The bill focuses on the development and implementation of magnetic levitation and high-speed rail transportation systems, which falls under the category of Transportation.",280,50
4054,10,Transportation,0.98,,1639,18
4055,10,Transportation,0.98,,1551,18
4056,10,Transportation,0.98,,1670,18
4057,12,Social Welfare,0.90,,220,6
4058,15,Defense,0.85,,223,19
4059,12,Social Welfare,0.85,,230,19
4060,19,Government Operations,0.85,,242,19
4061,19,Government Operations,0.85,,237,19
4062,19,Government Operations,0.85,,239,19
4063,12,Social Welfare,0.85,"The bill aims to incorporate a retired enlisted association, which falls under social welfare and community development issues.",241,44
4064,15,Defense,0.80,"The bill is related to incorporating a retired enlisted association, which falls under defense issues.",250,41
4065,12,Social Welfare,0.85,"This bill pertains to incorporating a retired enlisted association, which falls under social welfare.",246,41
4066,15,Defense,0.85,,1602,15
4067,15,Defense,0.85,,1514,15
4068,15,Defense,0.85,,1633,15
4069,19,Government Operations,0.85,,223,6
4070,19,Government Operations,0.85,,225,18
4071,19,Government Operations,0.85,,232,18
4072,19,Government Operations,0.85,,244,18
4073,19,Government Operations,0.85,,239,18
4074,19,Government Operations,0.85,,241,18
4075,19,Government Operations,0.95,"The bill pertains to the incorporation of an organization, which falls under the domain of government operations.",243,42
4076,19,Government Operations,0.85,"The bill pertains to the incorporation of an organization, which falls under the domain of government operations.",251,42
4077,19,Government Operations,0.85,"The bill pertains to the incorporation of an organization, which falls under the category of Government Operations.",248,42
4078,15,Defense,0.88,,1607,18
4079,15,Defense,0.88,,1519,18
4080,15,Defense,0.88,,1638,18
4081,5,Labor and Employment,0.95,,234,6
4082,5,Labor and Employment,0.85,,237,19
4083,5,Labor and Employment,0.85,,244,19
4084,5,Labor and Employment,0.85,,256,19
4085,5,Labor and Employment,0.85,,251,19
4086,5,Labor and Employment,0.85,,253,19
4087,5,Labor and Employment,0.85,"The bill focuses on providing equitable treatment for technicians employed in the National Guard, which falls under labor and employment issues.",255,47
4088,5,Labor and Employment,0.95,"The bill focuses on providing equitable treatment for technicians in the National Guard in terms of crediting service for civil service retirement, which falls under Labor and Employment issues.",264,56
4089,5,Labor and Employment,0.95,"The bill focuses on employment and retirement benefits for National Guard technicians, falling under the Labor and Employment category.",260,45
4090,15,Defense,0.95,,1616,15
4091,5,Labor and Employment,0.98,,1528,15
4092,15,Defense,0.92,,1647,15
4093,5,Labor and Employment,0.85,,236,6
4094,5,Labor and Employment,0.95,,238,18
4095,5,Labor and Employment,0.90,,245,18
4096,5,Labor and Employment,0.90,,257,18
4097,5,Labor and Employment,0.95,,252,18
4098,5,Labor and Employment,0.90,,254,18
4099,5,Labor and Employment,0.85,"The bill pertains to the employment conditions and retirement benefits of National Guard technicians, which falls under labor and employment issues.",256,46
4100,5,Labor and Employment,0.90,"The bill addresses the treatment of National Guard technicians in terms of crediting their service for civil service retirement, which falls under labor and employment issues.",264,52
4101,5,Labor and Employment,0.95,"The bill addresses the employment conditions and retirement benefits of National Guard technicians, which falls under labor and employment issues.",261,45
4102,5,Labor and Employment,0.95,,1620,18
4103,5,Labor and Employment,0.90,,1532,18
4104,15,Defense,0.93,,1651,18
4105,12,Social Welfare,0.90,,238,6
4106,11,"Law, Crime, and Family Issues",0.75,,241,19
4107,11,"Law, Crime, and Family Issues",0.75,,248,19
4108,11,"Law, Crime, and Family Issues",0.85,,260,19
4109,11,"Law, Crime, and Family Issues",0.85,,255,19
4110,11,"Law, Crime, and Family Issues",0.85,,257,19
4111,11,"Law, Crime, and Family Issues",0.80,"The bill aims to prevent frauds against veterans, which falls under law and crime issues.",259,42
4112,11,"Law, Crime, and Family Issues",0.80,"The bill aims to prevent frauds against veterans, which falls under law and crime issues.",268,42
4113,11,"Law, Crime, and Family Issues",0.80,"The bill aims to prevent fraud against veterans, which falls under law and crime issues.",264,41
4114,11,"Law, Crime, and Family Issues",0.98,,1620,15
4115,11,"Law, Crime, and Family Issues",0.98,,1532,15
4116,11,"Law, Crime, and Family Issues",0.92,,1651,15
4117,11,"Law, Crime, and Family Issues",0.85,,241,6
4118,11,"Law, Crime, and Family Issues",0.85,,243,18
4119,11,"Law, Crime, and Family Issues",0.90,,250,18
4120,11,"Law, Crime, and Family Issues",0.95,,262,18
4121,11,"Law, Crime, and Family Issues",0.95,,257,18
4122,11,"Law, Crime, and Family Issues",0.95,,259,18
4123,11,"Law, Crime, and Family Issues",0.95,"The bill aims to amend the United States Code to address fraud prevention, which falls under the category of law and crime issues.",261,48
4124,11,"Law, Crime, and Family Issues",0.90,"The bill aims to amend the United States Code to provide tools to prevent frauds against veterans, which falls under the category of Law, Crime, and Family Issues.",269,56
4125,11,"Law, Crime, and Family Issues",0.90,"The bill aims to amend the United States Code to prevent frauds against veterans, which falls under the category of Law, Crime, and Family Issues.",266,53
4126,11,"Law, Crime, and Family Issues",0.95,,1625,18
4127,11,"Law, Crime, and Family Issues",0.94,,1537,18
4128,11,"Law, Crime, and Family Issues",0.94,,1656,18
4129,12,Social Welfare,1.00,,234,6
4130,12,Social Welfare,0.95,,237,19
4131,12,Social Welfare,0.95,,244,19
4132,12,Social Welfare,0.95,,256,19
4133,12,Social Welfare,0.95,,251,19
4134,12,Social Welfare,0.95,,253,19
4135,12,Social Welfare,0.95,"The bill focuses on providing affordable housing for low-income families, falling under the category of Social Welfare.",255,44
4136,12,Social Welfare,0.95,"The bill focuses on providing affordable housing for low-income families, which falls under social welfare issues.",264,43
4137,12,Social Welfare,0.95,"The bill focuses on providing affordable housing for low-income families, which falls under social welfare issues.",260,43
4138,13,Community Development and Housing Issues,0.98,,1616,15
4139,13,Community Development and Housing Issues,0.98,,1528,19
4140,13,Community Development and Housing Issues,0.95,,1647,15
4141,13,Community Development and Housing Issues,0.95,,237,6
4142,13,Community Development and Housing Issues,0.95,,239,18
4143,13,Community Development and Housing Issues,0.95,,246,18
4144,13,Community Development and Housing Issues,0.95,,258,18
4145,13,Community Development and Housing Issues,0.95,,253,18
4146,13,Community Development and Housing Issues,0.95,,255,18
4147,13,Community Development and Housing Issues,0.95,"The bill focuses on establishing a Federal Housing Trust Fund to provide affordable housing, which directly relates to community development and housing issues.",257,48
4148,13,Community Development and Housing Issues,0.95,"The bill aims to establish a Federal Housing Trust Fund to provide decent, safe, and affordable housing for low-income families, which directly relates to community development and housing issues.",265,57
4149,13,Community Development and Housing Issues,0.95,"The bill aims to establish a Federal Housing Trust Fund to provide affordable housing, which directly relates to community development and housing issues.",262,48
4150,13,Community Development and Housing Issues,0.95,,1621,18
4151,13,Community Development and Housing Issues,0.95,,1533,18
4152,13,Community Development and Housing Issues,0.95,,1652,18
4153,9,Immigration,0.95,,230,6
4154,9,Immigration,0.95,,233,19
4155,9,Immigration,0.95,,240,19
4156,9,Immigration,0.85,,252,19
4157,9,Immigration,0.95,,247,19
4158,9,Immigration,0.85,,249,19
4159,9,Immigration,0.95,"The bill focuses on assisting certain aliens who have fled from Poland, which falls under immigration issues.",251,43
4160,9,Immigration,0.95,"The bill focuses on assisting certain aliens who have fled from Poland, which falls under immigration issues.",260,43
4161,9,Immigration,0.95,"The bill focuses on assisting certain aliens in their admission into the United States, which falls under immigration issues.",256,45
4162,9,Immigration,0.98,,1612,15
4163,18,International Affairs and Foreign Aid,0.95,,1524,15
4164,18,International Affairs and Foreign Aid,0.90,,1643,15
4165,9,Immigration,0.95,,232,6
4166,9,Immigration,0.95,,234,18
4167,9,Immigration,0.95,,241,18
4168,9,Immigration,0.95,,253,18
4169,9,Immigration,0.95,,248,18
4170,9,Immigration,0.95,,250,18
4171,9,Immigration,0.95,"The bill pertains to the admission of certain aliens into the United States, which directly relates to immigration policies and procedures.",252,46
4172,9,Immigration,0.95,"The bill pertains to the admission of certain aliens into the United States, which directly relates to immigration policies and procedures.",260,46
4173,9,Immigration,0.95,"The bill pertains to the admission of certain aliens into the United States, which directly relates to immigration policies and procedures.",257,46
4174,9,Immigration,0.95,,1616,18
4175,9,Immigration,0.95,,1528,18
4176,9,Immigration,0.95,,1647,18
4177,5,Labor and Employment,0.95,,243,6
4178,5,Labor and Employment,0.85,,246,19
4179,12,Social Welfare,0.85,,253,19
4180,12,Social Welfare,0.85,,265,19
4181,12,Social Welfare,0.85,,260,19
4182,5,Labor and Employment,0.85,,262,19
4183,5,Labor and Employment,0.85,"The bill focuses on amending the Railroad Retirement Act of 1937, which falls under Labor and Employment issues.",264,47
4184,5,Labor and Employment,0.85,"The bill focuses on amending the Railroad Retirement Act of 1937, which falls under Labor and Employment issues.",273,47
4185,5,Labor and Employment,0.85,"The bill focuses on amending the Railroad Retirement Act of 1937 to provide increased benefits for survivors, which falls under Labor and Employment issues.",269,53
4186,5,Labor and Employment,0.97,,1625,15
4187,5,Labor and Employment,0.98,,1537,15
4188,5,Labor and Employment,0.92,,1656,15
4189,10,Transportation,0.85,,246,6
4190,12,Social Welfare,0.95,,248,18
4191,12,Social Welfare,0.90,,255,18
4192,12,Social Welfare,0.90,,267,18
4193,12,Social Welfare,0.95,,262,18
4194,5,Labor and Employment,0.90,,264,18
4195,12,Social Welfare,0.95,"The bill aims to increase survivor annuities and insurance lump sums under the Railroad Retirement Act, which falls under social welfare as it pertains to benefits for individuals.",266,55
4196,12,Social Welfare,0.95,"The bill aims to amend the Railroad Retirement Act of 1937 to increase survivor annuities and insurance lump sums, which falls under social welfare as it deals with benefits for survivors.",274,60
4197,12,Social Welfare,0.95,"The bill aims to amend the Railroad Retirement Act to increase survivor annuities and insurance lump sums, which falls under social welfare as it deals with benefits for individuals and families.",271,58
4198,12,Social Welfare,0.89,,1630,18
4199,12,Social Welfare,0.93,,1542,18
4200,12,Social Welfare,0.94,,1661,18
4201,4,Agriculture,0.95,,239,6
4202,4,Agriculture,0.85,,242,19
4203,4,Agriculture,0.95,,249,19
4204,4,Agriculture,0.95,,261,19
4205,4,Agriculture,0.95,,256,19
4206,4,Agriculture,0.85,,258,19
4207,4,Agriculture,0.95,"The bill focuses on establishing programs for farmers, which falls under the Agriculture category.",260,40
4208,4,Agriculture,0.90,"The bill focuses on establishing farm and crop acreage base and program yield system, indicating it falls under the Agriculture category.",269,48
4209,4,Agriculture,0.95,"The bill focuses on establishing farm and crop acreage base and program yield system, making it related to agriculture.",265,46
4210,4,Agriculture,0.98,,1621,15
4211,4,Agriculture,0.98,,1533,15
4212,4,Agriculture,0.95,,1652,15
4213,4,Agriculture,0.95,,240,6
4214,4,Agriculture,0.95,,242,18
4215,4,Agriculture,0.95,,249,18
4216,4,Agriculture,0.95,,261,18
4217,4,Agriculture,0.95,,256,18
4218,4,Agriculture,0.95,,258,18
4219,4,Agriculture,0.95,"The bill focuses on establishing a system for farm and crop acreage base and program yield, which directly pertains to agricultural practices and policies.",260,49
4220,4,Agriculture,0.95,"The bill focuses on establishing a system for farm and crop acreage base and program yield, which directly pertains to agricultural practices and policies.",268,49
4221,4,Agriculture,0.95,"The bill focuses on establishing a system for farm and crop acreage base and program yield, which directly pertains to agricultural practices and policies.",265,49
4222,4,Agriculture,0.98,,1624,18
4223,4,Agriculture,0.95,,1536,18
4224,4,Agriculture,0.98,,1655,18
4225,14,"Banking, Finance, and Domestic Commerce",0.85,,245,6
4226,14,"Banking, Finance, and Domestic Commerce",0.75,,248,19
4227,14,"Banking, Finance, and Domestic Commerce",0.85,,255,19
4228,14,"Banking, Finance, and Domestic Commerce",0.85,,267,19
4229,14,"Banking, Finance, and Domestic Commerce",0.85,,262,19
4230,14,"Banking, Finance, and Domestic Commerce",0.85,,264,19
4231,14,"Banking, Finance, and Domestic Commerce",0.85,"The bill focuses on amending the Internal Revenue Code to provide tax rate reductions, which falls under Banking, Finance, and Domestic Commerce.",266,51
4232,14,"Banking, Finance, and Domestic Commerce",0.80,"The bill focuses on amending the Internal Revenue Code, which falls under Banking, Finance, and Domestic Commerce.",275,46
4233,14,"Banking, Finance, and Domestic Commerce",0.85,"The bill focuses on amending the Internal Revenue Code, which falls under Banking, Finance, and Domestic Commerce.",271,46
4234,1,Macroeconomics,0.95,,1627,15
4235,1,Macroeconomics,0.95,,1539,15
4236,14,"Banking, Finance, and Domestic Commerce",0.90,,1658,15
4237,14,"Banking, Finance, and Domestic Commerce",0.95,,248,6
4238,1,Macroeconomics,0.95,,250,18
4239,1,Macroeconomics,0.95,,257,18
4240,1,Macroeconomics,0.95,,269,18
4241,1,Macroeconomics,0.95,,264,18
4242,1,Macroeconomics,0.95,,266,18
4243,1,Macroeconomics,0.95,"The bill pertains to amendments in the Internal Revenue Code, specifically focusing on individual income tax rate reductions and the repeal of certain tax phaseouts, which are key aspects of macroeconomic policy.",268,60
4244,1,Macroeconomics,0.95,"The bill focuses on amendments to the Internal Revenue Code, specifically addressing individual income tax rate reductions and the repeal of certain tax deduction phaseouts, which are key aspects of macroeconomic policy.",276,60
4245,1,Macroeconomics,0.95,"The bill pertains to amendments in the Internal Revenue Code, focusing on individual income tax rate reductions and the repeal of certain tax phaseouts, which are key aspects of macroeconomic policy.",273,59
4246,1,Macroeconomics,0.95,,1632,18
4247,1,Macroeconomics,0.95,,1544,18
4248,1,Macroeconomics,0.95,,1663,18
4249,9,Immigration,1.00,,223,6
4250,9,Immigration,0.95,,226,19
4251,9,Immigration,0.95,,233,19
4252,9,Immigration,0.95,,245,19
4253,9,Immigration,0.95,,240,19
4254,9,Immigration,0.95,,242,19
4255,9,Immigration,0.95,The bill is related to immigration as it seeks to authorize the naturalization of an individual named Michael Kroskof Thomas.,244,49
4256,9,Immigration,0.95,The bill is related to immigration as it seeks to authorize the naturalization of an individual named Michael Kroskof Thomas.,253,49
4257,9,Immigration,0.95,"The bill pertains to the naturalization process for an individual, falling under immigration issues.",249,42
4258,9,Immigration,0.98,,1605,15
4259,9,Immigration,0.85,,1517,15
4260,9,Immigration,0.95,,1636,15
4261,9,Immigration,0.95,,226,6
4262,9,Immigration,0.95,,228,18
4263,9,Immigration,0.95,,235,18
4264,9,Immigration,0.95,,247,18
4265,9,Immigration,0.95,,242,18
4266,9,Immigration,0.95,,244,18
4267,9,Immigration,0.95,"The bill pertains to the naturalization process, which is a key aspect of immigration policy.",246,41
4268,9,Immigration,0.95,"The bill pertains to the naturalization of an individual, which falls under the category of immigration.",254,42
4269,9,Immigration,0.95,"The bill pertains to the naturalization of an individual, which falls under the category of immigration.",251,42
4270,9,Immigration,0.98,,1610,18
4271,9,Immigration,0.98,,1522,18
4272,9,Immigration,0.98,,1641,18
4273,3,Health,1.00,,226,6
4274,12,Social Welfare,0.75,,229,19
4275,12,Social Welfare,0.85,,236,19
4276,14,"Banking, Finance, and Domestic Commerce",0.85,,248,19
4277,14,"Banking, Finance, and Domestic Commerce",0.85,,243,19
4278,12,Social Welfare,0.85,,245,19
4279,12,Social Welfare,0.85,"The bill focuses on regulating the advertising of alcoholic beverages, which falls under social welfare and public health concerns.",247,45
4280,2,"Civil Rights, Minority Issues, and Civil Liberties",0.80,"This bill relates to regulations on advertising of alcoholic beverages, which can impact civil liberties and public health concerns.",256,45
4281,2,"Civil Rights, Minority Issues, and Civil Liberties",0.85,"This bill falls under Civil Rights, Minority Issues, and Civil Liberties as it pertains to regulating the advertising of alcoholic beverages to protect consumers and promote responsible consumption.",252,56
4282,14,"Banking, Finance, and Domestic Commerce",0.90,,1608,15
4283,14,"Banking, Finance, and Domestic Commerce",0.95,,1520,15
4284,14,"Banking, Finance, and Domestic Commerce",0.90,,1639,15
4285,14,"Banking, Finance, and Domestic Commerce",0.85,,229,6
4286,14,"Banking, Finance, and Domestic Commerce",0.85,,231,18
4287,14,"Banking, Finance, and Domestic Commerce",0.85,,238,18
4288,14,"Banking, Finance, and Domestic Commerce",0.85,,250,18
4289,14,"Banking, Finance, and Domestic Commerce",0.90,,245,18
4290,14,"Banking, Finance, and Domestic Commerce",0.85,,247,18
4291,14,"Banking, Finance, and Domestic Commerce",0.85,"The bill pertains to the regulation of advertising practices, which falls under the domain of domestic commerce and the Federal Trade Commission's oversight.",249,49
4292,14,"Banking, Finance, and Domestic Commerce",0.85,"The bill pertains to the Federal Trade Commission Act, which deals with regulations affecting commerce, specifically the advertising of alcoholic beverages.",257,47
4293,14,"Banking, Finance, and Domestic Commerce",0.85,"The bill pertains to the regulation of advertising practices, which falls under the domain of domestic commerce and the Federal Trade Commission's oversight.",254,49
4294,14,"Banking, Finance, and Domestic Commerce",0.95,,1613,18
4295,14,"Banking, Finance, and Domestic Commerce",0.93,,1525,18
4296,14,"Banking, Finance, and Domestic Commerce",0.95,,1644,18
4297,6,Education,0.90,,252,6
4298,5,Labor and Employment,0.85,,255,19
4299,5,Labor and Employment,0.85,,262,19
4300,5,Labor and Employment,0.85,,274,19
4301,5,Labor and Employment,0.85,,269,19
4302,5,Labor and Employment,0.85,,271,19
4303,5,Labor and Employment,0.90,"The bill focuses on employment opportunities and education and training for individuals seeking work, aligning with the Labor and Employment category.",273,48
4304,5,Labor and Employment,0.90,"This bill focuses on employment opportunities and education and training for individuals seeking work, falling under the Labor and Employment category.",282,47
4305,5,Labor and Employment,0.85,"The bill focuses on employment opportunities and education and training for individuals seeking work, aligning with the Labor and Employment category.",278,48
4306,5,Labor and Employment,0.98,,1634,15
4307,5,Labor and Employment,0.98,,1546,15
4308,5,Labor and Employment,0.95,,1665,15
4309,5,Labor and Employment,0.85,,255,6
4310,5,Labor and Employment,0.90,,257,18
4311,5,Labor and Employment,0.90,,264,18
4312,5,Labor and Employment,0.90,,276,18
4313,5,Labor and Employment,0.90,,271,18
4314,5,Labor and Employment,0.90,,273,18
4315,5,Labor and Employment,0.90,"The bill focuses on ensuring employment opportunities and providing necessary education and training for employment, which aligns closely with labor and employment issues.",275,48
4316,5,Labor and Employment,0.90,"The bill focuses on ensuring employment opportunities and providing necessary education and training for employment, which aligns closely with labor and employment issues.",283,48
4317,5,Labor and Employment,0.95,"The bill focuses on ensuring employment opportunities and providing necessary education and training for employment, which directly relates to labor and employment issues.",280,48
4318,5,Labor and Employment,0.95,,1639,18
4319,5,Labor and Employment,0.90,,1551,18
4320,5,Labor and Employment,0.94,,1670,18
4321,15,Defense,0.90,,257,6
4322,15,Defense,0.85,,260,19
4323,15,Defense,0.85,,267,19
4324,15,Defense,0.85,,279,19
4325,15,Defense,0.85,,274,19
4326,15,Defense,0.85,,276,19
4327,15,Defense,0.85,The bill aims to assist in national defense by ensuring an adequate supply of lead and trine for consumption in the United States.,278,49
4328,15,Defense,0.85,The bill aims to assist in national defense by ensuring an adequate supply of lead and trine for consumption in the United States.,287,49
4329,15,Defense,0.85,The bill aims to assist in national defense by providing for an adequate supply of lead and trine for consumption in the United States.,283,50
4330,15,Defense,0.98,,1639,15
4331,15,Defense,0.98,,1551,15
4332,15,Defense,0.95,,1670,15
4333,1,Macroeconomics,0.75,,260,6
4334,1,Macroeconomics,0.85,,262,18
4335,1,Macroeconomics,0.85,,269,18
4336,15,Defense,0.85,,281,18
4337,17,Foreign Trade,0.85,,276,18
4338,15,Defense,0.85,,278,18
4339,15,Defense,0.85,"The bill aims to ensure an adequate supply of lead and trine for national defense, which directly relates to defense needs.",280,47
4340,15,Defense,0.85,"The bill aims to ensure an adequate supply of lead and trine for national defense, which directly relates to defense needs.",288,47
4341,15,Defense,0.85,"The bill aims to assist in national defense by ensuring an adequate supply of lead and trine, which are likely critical materials for defense purposes.",285,51
4342,15,Defense,0.88,,1644,18
4343,15,Defense,0.88,,1556,18
4344,15,Defense,0.88,,1675,18
4345,16,"Space, Science, Technology, and Communications",0.90,,221,6
4346,16,"Space, Science, Technology, and Communications",0.85,,224,19
4347,16,"Space, Science, Technology, and Communications",0.85,,231,19
4348,16,"Space, Science, Technology, and Communications",0.85,,243,19
4349,16,"Space, Science, Technology, and Communications",0.85,,238,19
4350,16,"Space, Science, Technology, and Communications",0.85,,240,19
4351,16,"Space, Science, Technology, and Communications",0.85,"The bill pertains to clarifying laws related to subscription television operations, which falls under the realm of communications and technology.",242,48
4352,16,"Space, Science, Technology, and Communications",0.85,"The bill pertains to clarifying laws related to subscription television operations, which falls under the realm of communications and technology.",251,48
4353,16,"Space, Science, Technology, and Communications",0.85,"The bill pertains to clarifying laws related to subscription television operations, which falls under the realm of technology and communications.",247,48
4354,16,"Space, Science, Technology, and Communications",0.90,,1603,15
4355,16,"Space, Science, Technology, and Communications",0.85,,1515,15
4356,16,"Space, Science, Technology, and Communications",0.90,,1634,15
4357,16,"Space, Science, Technology, and Communications",0.85,,224,6
4358,16,"Space, Science, Technology, and Communications",0.95,,226,18
4359,16,"Space, Science, Technology, and Communications",0.95,,233,18
4360,16,"Space, Science, Technology, and Communications",0.85,,245,18
4361,16,"Space, Science, Technology, and Communications",0.95,,240,18
4362,16,"Space, Science, Technology, and Communications",0.95,,242,18
4363,16,"Space, Science, Technology, and Communications",0.95,"The bill pertains to subscription television operations, which falls under the domain of communications and technology.",244,41
4364,16,"Space, Science, Technology, and Communications",0.90,"The bill pertains to subscription television operations, which falls under the domain of communications and technology.",252,41
4365,16,"Space, Science, Technology, and Communications",0.95,"The bill pertains to subscription television operations, which falls under the domain of communications and technology.",249,41
4366,16,"Space, Science, Technology, and Communications",0.95,,1608,18
4367,16,"Space, Science, Technology, and Communications",0.95,,1520,18
4368,16,"Space, Science, Technology, and Communications",0.94,,1639,18
4369,20,Public Lands and Water Management,0.95,,232,6
4370,7,Environment,0.95,,235,19
4371,20,Public Lands and Water Management,1.00,,242,19
4372,7,Environment,0.95,,254,19
4373,20,Public Lands and Water Management,0.95,,249,19
4374,20,Public Lands and Water Management,0.95,,251,19
4375,20,Public Lands and Water Management,0.95,"The bill focuses on designating certain lands in a national monument as wilderness, which falls under public lands and water management.",253,48
4376,20,Public Lands and Water Management,0.95,"The bill focuses on designating certain lands in a national monument as wilderness, which falls under public lands and water management.",262,48
4377,20,Public Lands and Water Management,0.95,"The bill focuses on designating certain lands in a national monument as wilderness, which falls under public lands and water management.",258,48
4378,20,Public Lands and Water Management,0.98,,1614,15
4379,20,Public Lands and Water Management,0.98,,1526,15
4380,20,Public Lands and Water Management,0.95,,1645,15
4381,20,Public Lands and Water Management,0.95,,234,6
4382,20,Public Lands and Water Management,0.95,,236,18
4383,20,Public Lands and Water Management,0.95,,243,18
4384,20,Public Lands and Water Management,0.95,,255,18
4385,20,Public Lands and Water Management,0.95,,250,18
4386,20,Public Lands and Water Management,0.95,,252,18
4387,20,Public Lands and Water Management,0.95,"The bill pertains to the designation of certain lands within a national monument, which falls under the management and regulation of public lands and water resources.",254,51
4388,20,Public Lands and Water Management,0.95,"The bill pertains to the designation of certain lands within a national monument as wilderness, which falls under the management and conservation of public lands and water resources.",262,53
4389,20,Public Lands and Water Management,0.95,"The bill pertains to the designation of certain lands as wilderness, which falls under the management and conservation of public lands and water resources.",259,49
4390,20,Public Lands and Water Management,0.95,,1618,18
4391,20,Public Lands and Water Management,0.95,,1530,18
4392,20,Public Lands and Water Management,0.95,,1649,18
4393,15,Defense,0.90,,268,6
4394,15,Defense,0.85,,271,19
4395,15,Defense,0.85,,278,19
4396,15,Defense,0.85,,290,19
4397,15,Defense,0.95,,285,19
4398,15,Defense,0.85,,287,19
4399,15,Defense,0.85,"The bill relates to the Soldiers' and Sailors' Civil Relief Act of 1940 and concerns the rights and protections of members of the Armed Forces, making it most closely related to the Defense category.",289,65
4400,15,Defense,0.85,"The bill relates to amending a law that specifically affects members of the Armed Forces, making it fall under the Defense category.",298,49
4401,15,Defense,0.85,"The bill relates to the Soldiers' and Sailors' Civil Relief Act of 1940 and addresses issues concerning members of the Armed Forces, which falls under the Defense category.",294,59
4402,15,Defense,0.98,,1650,15
4403,15,Defense,0.98,,1562,15
4404,15,Defense,0.94,,1681,15
4405,15,Defense,0.95,,271,6
4406,15,Defense,0.95,,273,18
4407,15,Defense,0.95,,280,18
4408,15,Defense,0.95,,292,18
4409,15,Defense,0.95,,287,18
4410,15,Defense,0.95,,289,18
4411,15,Defense,0.95,"The bill pertains to amending a law specifically related to members of the Armed Forces, which falls under the category of Defense.",291,48
